Report Level 3,BM000075,BM000076,BM000077,BM000078,BM000079,BM000080,BM000081,BM000082,BM000083,BM000084,BM000085,BM000086,BM000087,BM000088,BM000089,BM000090,BM000933,BM000934,BM000935,BM000936,BM000937
Butyrate (SCFA),18.208515226077637,18.094230682388545,18.249968218254814,18.07470292439051,18.171893609674637,18.306885835507497,18.213640507751887,18.2066101218614,18.001461460415438,18.13836857698515,18.200133260705503,18.030225838744744,17.95015509870531,18.11072296321087,18.12812979340186,18.131251596047065,18.133680247227865,18.128137586195766,17.925130056140308,18.20944106165875,18.237972835125174
Lactate,19.43922677604539,19.466381492661636,19.776792758512553,19.33592867176206,19.419550464131728,19.504507705576025,19.530715692865055,19.559419704979483,19.356876562142837,19.393666697752383,19.418222819147864,19.302032143938156,19.280462936919786,19.43421659359932,19.351066397754966,19.4342293353433,19.449970803031086,19.36682817560413,19.198594137335547,19.5853079716743,19.49591375011316
Carbohydrates,18.589792630813488,18.66189662648344,18.867651317622357,18.521170073878615,18.60279249146736,18.567328903146905,18.68507773705827,18.64799897814887,18.482953642918517,18.549646338252455,18.6498963752473,18.519814157549977,18.460659876385364,18.5537852662375,18.5444658604779,18.578040519679604,18.584179681278478,18.78117468056731,18.356072900895647,18.68039314019407,18.732751094889295
Proteins,17.71830831777295,17.70423759587065,17.87204312767595,17.639557851267647,17.68496186178708,17.714090857083796,17.786317360351177,17.71786862458614,17.564597855682116,17.65095436149478,17.731727113455158,17.637141319328908,17.494717162578027,17.690533899225056,17.652801735606978,17.68214722803318,17.665188948051142,17.75181491555545,17.424142013189496,17.788054559538256,17.768065014692333
Fats,16.31015172184431,16.36076038101938,16.46021743259457,16.2057510295642,16.26380424790178,16.2845774277971,16.379761161528243,16.31400058257251,16.07433268370668,16.2234442430079,16.320715087255007,16.23886971669995,16.07567308843229,16.18600934429132,16.227049779086055,16.276358860524695,16.23209803293893,16.48849101012994,15.952966475554188,16.380853739845723,16.42934911494886
Vitamin B1,17.373260053963172,17.39129722035689,17.579266314617765,17.325416378036255,17.44673101523068,17.346540945321756,17.508720102551862,17.412646707895156,17.292596619436654,17.400206542455436,17.467780324426453,17.313680392380487,17.251098565807165,17.31183127592026,17.38898788866839,17.387520154588554,17.303510253168476,17.533114151568626,17.242739857000537,17.448552547069696,17.573657034841435
Vitamin B6,17.814391577554932,18.231584021792468,18.32174546802246,17.872586843130886,17.9531376699901,17.923251351554516,17.951584889425494,18.010567073270952,17.869135096807494,17.8667939214361,17.89572829141092,17.929024298500696,17.798532521762468,17.938132577609416,17.850165727159425,17.83518573003282,17.825337007561576,17.835731024542895,17.727710785078212,17.970381333732774,18.072494536050925
Vitamin B7,16.853783617283643,16.795761114626313,17.188967694639995,16.823091508266973,16.98438742690529,16.810550950073207,16.87012862223862,16.73889903625697,16.57211105111348,16.912503823999227,17.021209832751783,16.751044175736745,16.794583335876126,16.780573163753242,16.875409248189435,16.797894855815244,16.812319735030766,17.152262597153054,16.623001036291566,16.799284176798125,17.093387470099294
Vitamin B9,18.815503623693548,18.985453752277028,19.11788898751364,18.793828942283007,18.83954161779344,18.80994097583908,18.937623411373863,18.904600808106874,18.75892421204039,18.802417546580223,18.875441790992134,18.800437175448963,18.60914767998987,18.851802983506094,18.839680682535295,18.801676142913827,18.815427216920174,18.881979176866693,18.630555187276634,18.886863726097353,18.988605226142194
Vitamin B12,16.88977306638916,16.6655854786763,17.2618274432633,16.96221737341399,17.10298710528962,17.14575013316327,16.991508061664575,16.998162624827266,16.74505989376881,17.06110881113049,17.159771188402335,16.865868657292285,16.935508000051563,16.91370818329791,17.02229750160699,16.876032862275892,16.970607682177523,16.99274025285623,16.7572777671706,16.809789890787194,17.10474716043975
