Report Level 3,BM000323,BM000324,BM000325,BM000326,BM000327,BM000328,BM000329,BM000330,BM000331,BM000332,BM000333,BM000334,BM000335,BM000336,BM000337,BM000338,BM000339,BM000340,BM000341
Butyrate (SCFA),17.885494622837516,17.89003316625289,17.980674555592284,18.01090908006858,18.151552941874886,18.00475294898416,18.18013082612316,17.902354101529664,18.101048143462975,17.8972898053303,18.01270145930988,18.168410241612364,17.989100630796393,18.096341158144217,18.128913154650668,18.119350274598858,18.234613762340498,18.107652379703204,18.27459536384164
Lactate,19.167804652526492,19.240580590192007,19.205116574999938,19.28694515391271,19.437258396717496,19.33478699374076,19.279861713526948,19.061370104847004,19.562938523819668,19.09302979133978,19.10870431205389,19.249481424482756,19.2581284396677,19.329549180778812,19.284101956495622,19.39731491424482,19.514156243843324,19.393717455490865,19.37310646765474
Carbohydrates,18.41229138270074,18.365887689349506,18.424147029458876,18.557998494051315,18.66557294868115,18.52770032824253,18.652028983925952,18.335906256049938,18.74493251332809,18.432947293124023,18.453190484694908,18.523222896359172,18.486588640004776,18.49597711675131,18.507987363914378,18.640358816699,18.714721409782705,18.555108668779532,18.711993262270386
Proteins,17.513343186349132,17.502450968475078,17.61954809329026,17.640761565790452,17.74396501832822,17.644833171373172,17.743173552021076,17.517839411897334,17.91215295084157,17.55489328866993,17.579975805634376,17.674786842753267,17.586929168030327,17.655582546717447,17.721637010898764,17.72472819707502,17.798833981144178,17.694974603834588,17.809426204131018
Fats,16.04962071792078,15.988605068327631,16.27336514640015,16.335543032770495,16.389508336266324,16.230938744687354,16.368172071429836,16.108687398037365,16.52396892003197,16.201993963568178,16.12845274740011,16.209861565668522,16.121684772230196,16.19928151215706,16.41791066510741,16.42991577318443,16.44607503500969,16.294091441672418,16.44361088102863
Vitamin B1,17.1470103370331,17.09092165088377,17.099012090147074,17.274625854025956,17.398154162119113,17.246589303316995,17.392644481112814,17.109158089851448,17.26388057369444,17.07722053635624,17.192103404963323,17.391442141036805,17.243835434377146,17.282441176059205,17.189237012712184,17.342215514577653,17.450081688533164,17.267234801961905,17.44649458509504
Vitamin B6,17.774566124860296,17.662398550711163,17.725923345213992,17.7974125596945,17.852310045454413,17.796971277750817,17.803139199412367,17.70266312290944,18.062106854111704,17.601350492361032,17.619101721164196,17.78642724467863,17.766671649901742,17.80600075377452,17.763792518173783,17.850071222272998,17.891175575800887,17.798342140171645,17.84005870758234
Vitamin B7,16.770216542684466,16.642215473643216,16.738574498341336,16.928223666924538,17.008390464120517,16.771164442207034,17.124405514390727,16.68565835823645,16.979583160093053,16.866969693864156,16.84393612425339,16.97916353128369,16.855262487713677,16.837765088616074,16.87135553369038,17.003457136070104,17.062173150276827,16.846870976154328,17.16476735716613
Vitamin B9,18.685117487012445,18.638499369553845,18.657543421489606,18.79900102908934,18.895758745444965,18.766339396525584,18.86665710486571,18.671983023389433,18.860978823133827,18.656791428718684,18.78071183046628,18.83130395589175,18.73028172113651,18.779662290291807,18.710250071289323,18.85926489368299,18.928463942668905,18.773743553241932,18.907067820008084
Vitamin B12,16.45942182687503,16.362626097005965,16.429960375093746,16.760224528453254,16.936778599512174,16.650979113011466,16.84006052390065,16.324748139177796,16.587149345273616,16.495197868397938,16.681124223646542,16.89623934196913,16.627371986846477,16.738362820076393,16.648344154995673,16.913212059185202,17.06103463672918,16.758721149333656,16.98476550324283
