Report Level 3,SRR13921700,SRR13921701,SRR13921702,SRR13921703,SRR13921704,SRR13921705,SRR13921706,SRR13921707,SRR13921708,SRR13921709,SRR13921710,SRR13921721,SRR13921732,SRR13921739,SRR13921740,SRR13921741,SRR13921742,SRR13921743,SRR13921744,SRR13921745,SRR13921746,SRR13921747,SRR13921748,SRR13921749,SRR13921757,SRR13921768,SRR13921769,SRR13921770
Butyrate (SCFA),18.113520440849445,18.212070190398865,18.14774934983237,18.049290927470604,17.969560121121756,17.976064758911154,18.038989364707525,18.285678053369182,18.007577356531737,18.088447789919304,18.24129094088167,18.139858983927564,18.1666139730742,17.970547380399154,17.94715982236396,18.193644618926633,17.761426607889085,18.105519287612335,18.2460249024242,18.182345272071945,17.969556678379224,18.174099767255846,18.097805041778763,18.21720309600117,18.327727978150154,18.3498430378834,18.16552139769123,18.042451276470405
Lactate,19.419019698167126,19.45164385382663,19.585743550582535,19.275404813490976,19.0485311952187,19.16001557173203,19.409907918685164,19.68129602857622,19.098665208139774,19.395916142478285,19.779108717184034,19.632457583708465,19.42866281193189,19.3524147984926,18.99838803069991,19.466289487930442,19.54301302704616,19.418532903895002,19.66317059229052,19.463272485310622,19.348295828727284,19.50263350628788,19.458561351636607,19.578155216586755,19.50090256346097,19.78716696152992,19.4819554658609,19.246131941220153
Carbohydrates,18.488680666080654,18.49708361996022,18.695012613118593,18.4301347112921,18.261217844981452,18.29171363621634,18.496125266097938,18.80025633520949,18.280106070098835,18.431588134677426,18.793239039629295,18.65959201692113,18.59747112200317,18.409076556306328,18.308118013421897,18.513693722642376,18.472035733170557,18.537406168570442,18.697998965829097,18.61621787615694,18.405296370317224,18.69550482935245,18.5452910361217,18.693550127452973,18.750776976601294,18.86727477522526,18.72498192398106,18.440194372312092
Proteins,17.59730300213585,17.61421446018115,17.738148270661355,17.53834285749758,17.394624189908324,17.43382516219643,17.585872209916502,17.782901438358454,17.4480598134853,17.560728165666493,17.780092982623056,17.691324041384597,17.660896449325882,17.53535600114598,17.43249469738374,17.62108310041413,17.38516869251339,17.593256556168733,17.679445715505345,17.698289290303286,17.46381382914638,17.686042331182925,17.661657492442416,17.753689711815063,17.754443086726525,17.865343506076794,17.715617346972447,17.571521052130535
Fats,16.13705024286697,16.458055778821446,16.13364381259641,16.137080098619297,15.932951349414186,15.930895453946919,16.10533154839595,16.415374674651083,15.967278958218978,16.06474604608635,16.284577789255405,16.25335947931991,16.18930798768343,16.128441046901433,16.044164735154325,16.332936608858414,15.981471032132495,16.014456918952252,16.08969198941925,16.23833751636583,16.071752573506796,16.29739886237349,16.11632269229527,16.28943682442179,16.41979189858712,16.47394773837288,16.394973809209006,16.090523525035632
Vitamin B1,17.195698276539137,17.576314101010865,17.14984474576243,17.190348234962446,17.224675353514304,17.056492475231845,17.284700727718718,17.60852914608209,17.13612628993291,17.172223995100698,17.499173374567874,17.426436591196715,17.378635453914665,17.117359739936084,17.102963145006687,17.39154343714656,17.19458365253299,17.41732480448055,17.640900570536164,17.26050910600389,17.27650531664348,17.616675486829813,16.964534222814525,17.470820670950562,17.28365592804028,17.567904497165678,17.46250167349783,17.116614314298424
Vitamin B6,17.802991457148003,18.282578928550805,17.949493512321144,17.736787926524304,17.552409209503693,17.501533028686026,17.79407490203309,17.78458419201038,17.506801520553058,17.75174880641732,17.84788454018059,17.800082090228,17.748951644162826,17.81038685228609,17.554199033345487,18.17979337487762,17.68002880618129,17.767890190703614,17.683517523435796,17.83096549921226,17.6682542419565,17.721175890604446,17.62775462209799,17.827016709363228,18.010733120168634,17.956730425914706,17.809380072811546,17.718235767893272
Vitamin B7,16.83966649159563,16.738190343500285,16.93177554082013,16.732205803724703,16.76583771479709,16.70566152983086,16.942416853920705,17.304852535817908,16.699162665473246,16.726877677995017,17.306890648320945,17.12510854461927,17.040633912755684,16.563295629886962,16.690670230080634,16.7003121138597,16.77680242385908,16.991623481282407,17.304459517951372,16.9563413963754,16.72466888174891,17.299952681891813,16.971215578367733,17.169139629582663,17.058217496255047,17.255256168145994,17.2457461302172,16.848108512099092
Vitamin B9,18.711704397753447,18.64875691885298,18.890640300897104,18.734723477471636,18.614905890724266,18.57476985129388,18.769821187741442,18.996997849742495,18.58425184199746,18.683104479138194,18.971285672684274,18.904409863028658,18.824619339643153,18.784349973146792,18.551592475230873,18.670890589546815,18.804462567373346,18.82991418788084,18.951326465652215,18.818309262326988,18.695229631717382,18.959961974436528,18.561889090781214,18.884351213516066,18.947414744950134,19.049190475474127,18.91114425588102,18.69007203747449
Vitamin B12,17.06054822898197,17.33971238421873,17.055556313089053,17.096184858377054,16.82271387228002,16.989385389831913,17.132938897549412,17.402704950377633,16.858032975859572,17.147726397265508,17.29481906813837,17.314292616493834,17.099227898655787,16.774421087320526,16.80156083631148,17.278519816201833,16.740890297440824,17.310227588529763,17.36545449026058,17.13684576019982,16.909273803235944,17.35057407658129,17.155877296206025,17.348492716045765,17.18537346852041,17.44744079325478,17.238237557873482,17.070922358069442
