Report Level 3,BM000890,BM000891,BM000892,BM000893,BM000894,BM000895,BM000896,BM000897,BM000898,BM000899,BM000900,BM000901,BM000902,BM000903,BM000904,BM000905,BM000906,BM000907,BM000908,BM000909,BM000910,BM000911,BM000912,BM000913,BM000914,BM000915
Butyrate (SCFA),18.12618002446152,17.864710218212792,17.984755099731707,17.631089404598896,18.025476257112608,17.94474642391367,18.18939089294071,17.892427912530955,18.110810941194938,18.1646667585978,18.01033553446296,17.97943386659305,17.885477031586564,18.159800069733443,17.997084858320438,18.21610667621786,18.12393131942559,17.91994221477824,17.904929195333867,17.98510403498955,17.592146252633512,18.083076451889703,18.059557370870383,18.101877682771576,17.428375733710464,18.02484397778805
Lactate,19.478948103006797,19.10918713830467,19.368576692453168,18.806753401294838,19.292562375347412,19.22155527947504,19.52207699437111,19.23155669258304,19.465409486291573,19.597401395112254,19.487983048848072,19.236270170736596,19.276394451746878,19.438579080093966,19.45577625158547,19.454042751481197,19.382926485711135,19.179123505654726,19.188283615803176,19.32657771736176,19.165988480348876,19.329000032804487,19.22682095946585,19.116643281536433,19.009483413950736,19.258820869487245
Carbohydrates,18.654515916872636,18.18964860389386,18.507599278145708,18.001085509238997,18.501020459498434,18.502774943930415,18.774176579024427,18.33953772564448,18.600606232130662,18.75590169383137,18.55585267463565,18.455661645281396,18.46618880461943,18.58176267293012,18.522963592412015,18.63140934439039,18.59590361298475,18.30394095946804,18.25582180354292,18.407849609315505,18.21442170936979,18.525322685671842,18.436872934454566,18.53594494176589,18.08751896079287,18.49507857519535
Proteins,17.710853650308202,17.364616929365486,17.68087337492972,17.156767517393263,17.561201619429244,17.630242908055173,17.776078668469715,17.503532816079133,17.677099051743664,17.715112621074265,17.618210502780393,17.486283580161405,17.52125295572498,17.69486828117053,17.672669555808124,17.752281325210973,17.74443354588918,17.40114132198471,17.423174717094106,17.530078799184835,17.423415969754345,17.605843364481686,17.552041151854738,17.701448755226117,17.005727552872557,17.568042250377907
Fats,16.364735390031775,15.860900441609498,16.246716416079614,15.639546634149504,16.247164776784153,16.267321490926324,16.36444478776465,16.04699989108823,16.268504865191026,16.318597211597012,16.27452288143994,16.13896551231091,16.10096089662963,16.351765546402035,16.287862433670323,16.45278389798488,16.352958345291643,15.921181829535824,15.898221770368949,16.130337179802098,15.838868592773371,16.1417616947813,16.16585433649402,16.213206831019882,15.724924812388357,16.114543899147353
Vitamin B1,17.41251128657341,17.084534457519762,17.30170673935933,17.044724560372774,17.347459057976007,17.030086980519847,17.52908262322729,16.878425731418748,17.425730710117232,17.479195629305796,17.27142658801391,17.249931446576515,17.1512469426902,17.480330333442993,17.315151260875837,17.53377233090985,17.39580185884079,17.09837531568277,16.923717061927178,17.32630416141668,16.951041399050563,17.229978086511455,17.236045172949975,17.19843320919418,16.491898336382807,17.164666861703875
Vitamin B6,17.960483742959,17.70212076045323,18.062596076718755,17.540158827384683,17.78573777644126,17.903212206743063,17.733857474624326,17.8123538515885,17.863030126384697,18.05150924981004,17.988387612303544,17.705239196688087,17.858193435228884,18.064273442619104,18.014140465543882,18.016903615250854,17.948689085261332,17.67314987089056,17.638299633145152,18.040346610366885,17.9075324919998,17.746701973967873,17.77559030069909,17.79410678358071,17.368159336051846,17.77808733506729
Vitamin B7,16.933905434386443,16.4822241854419,16.605154805688766,16.407659342911096,16.89574511327926,16.527111704325762,16.971042106938146,16.405134547546197,16.941816447421918,16.95918194484173,16.667084480198373,16.8799213536066,16.710181602205296,16.883187563014296,16.51596163559387,16.974000840188385,16.91816820002372,16.496505572871463,16.52522395371663,16.627382351358257,16.05270979168542,16.886983213474036,16.84972153547482,17.229067721746812,16.064224771527975,16.85442847727496
Vitamin B9,18.884676482854708,18.53015134028616,18.879886093626848,18.409938510175476,18.772314956389934,18.783745171640643,19.108605318971787,18.63092182723551,18.857180661872057,18.93087018294449,18.837574841214096,18.767518074552164,18.65468333891458,18.815176180002606,18.804234823991578,18.864177358767588,18.878394659014056,18.5449584377675,18.550202374502245,18.63384801874594,18.638768708656,18.754395410933576,18.687102699521972,18.93801231634218,18.141783610093228,18.695913040322154
Vitamin B12,17.176350643179546,16.641793003961514,16.56798603175698,16.493750691845896,16.965815045297475,16.145948078408352,17.295675290165192,16.314227284609032,17.043817875135687,17.039091325429403,16.9236626959369,16.790561096078903,16.80408183996643,17.073527055260648,16.561448198582166,17.172352914601575,16.657497632176547,16.67576624738724,16.655044823231506,16.856583257627516,15.927325405695331,16.967395074950115,16.873258535516786,16.260240040455045,15.951499311278157,16.754019612570602
